word_segment,instances,prominence
,2,2.1739130434782608
ཚོགས་,2,2.1739130434782608
ར་,2,2.1739130434782608
ཀྱི་,2,2.1739130434782608
༄༅,1,1.0869565217391304
བསྡུས་,1,1.0869565217391304
ནི,1,1.0869565217391304
རྂ་,1,1.0869565217391304
ཡྂ་,1,1.0869565217391304
ཁྂ,1,1.0869565217391304
༔,1,1.0869565217391304
ཨོཾ་,1,1.0869565217391304
ཨཱཿ,1,1.0869565217391304
ཧཱུྂ,1,1.0869565217391304
༔ཚོགས་རྫས་,1,1.0869565217391304
འདོད་ཡོན་,1,1.0869565217391304
ཡེ་ཤེས་,1,1.0869565217391304
རོལ་པ,1,1.0869565217391304
རྒྱན,1,1.0869565217391304
༔ཚོགས་,1,1.0869565217391304
རྗེ་,1,1.0869565217391304
ཚོགས་བདག་,1,1.0869565217391304
རིག་འཛིན་,1,1.0869565217391304
བླ་མ་,1,1.0869565217391304
དང༌,1,1.0869565217391304
༔གདན་,1,1.0869565217391304
གསུམ་,1,1.0869565217391304
དཀྱིལ་འཁོར་,1,1.0869565217391304
གནས་ཡུལ་,1,1.0869565217391304
ཉེར་,1,1.0869565217391304
བཞི,1,1.0869565217391304
བདག,1,1.0869565217391304
༔དཔའ་བོ་,1,1.0869565217391304
མཁའ་འགྲོ་,1,1.0869565217391304
དམ་ཅན་,1,1.0869565217391304
ཆོས་སྲུང་,1,1.0869565217391304
རྣམས,1,1.0869565217391304
༔འདི,1,1.0869565217391304
གཤེགས་,1,1.0869565217391304
ལོངས་སྤྱོད་,1,1.0869565217391304
མཆོད་པ་,1,1.0869565217391304
བཞེས,1,1.0869565217391304
༔འགལ་,1,1.0869565217391304
འཁྲུལ་,1,1.0869565217391304
ནོངས་,1,1.0869565217391304
དང་,1,1.0869565217391304
དམ་ཚིག་,1,1.0869565217391304
ཉམས་ཆག་,1,1.0869565217391304
བཤགས,1,1.0869565217391304
༔ཕྱི་,1,1.0869565217391304
ནང་,1,1.0869565217391304
བར་ཆད་,1,1.0869565217391304
ཆོས་,1,1.0869565217391304
དབྱིངས་,1,1.0869565217391304
སུ་,1,1.0869565217391304
སྒྲོལ,1,1.0869565217391304
༔ལྷག་,1,1.0869565217391304
གཏོར་,1,1.0869565217391304
བཞེས་,1,1.0869565217391304
ལ་,1,1.0869565217391304
ཕྲིན་ལས་,1,1.0869565217391304
འགྲུབ་པ,1,1.0869565217391304
མཛོད,1,1.0869565217391304
༔ཨོཾ་,1,1.0869565217391304
གུ་རུ་,1,1.0869565217391304
དེ་ཝ་,1,1.0869565217391304
ཌཱཀྐི་,1,1.0869565217391304
ཎཱི་,1,1.0869565217391304
ག་,1,1.0869565217391304
ཎ་,1,1.0869565217391304
ཙ་,1,1.0869565217391304
ཀྲ་,1,1.0869565217391304
པཱུ་,1,1.0869565217391304
ཛཱ་,1,1.0869565217391304
ཧོཿ,1,1.0869565217391304
ཨུཙྪིཥྚ་བ་,1,1.0869565217391304
ལིངྟ་,1,1.0869565217391304
ཁཱ་,1,1.0869565217391304
ཧི,1,1.0869565217391304
ཅེས་པ་,1,1.0869565217391304
འདི,1,1.0869565217391304
འང་,1,1.0869565217391304
རྒྱལ་བ,1,1.0869565217391304
མྱུ་གུ་,1,1.0869565217391304
འཇིགས་མེད་,1,1.0869565217391304
གླིང་པ,1,1.0869565217391304
ས་,1,1.0869565217391304
སོ,1,1.0869565217391304
